Bencana Menurut Wilayah ACEH,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Bencana Menurut Wilayah Nusa Tenggara Barat,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam,,,No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam
1,2016,113,86,944,321.177,249.852,2.758,2.83,5.946,47.791,,,1,2016,3,27,1.31,114.184,8.792,657,489,1.172,19.401
2,2017,4,97,390,167.777,43.128,262,155,339,11.583,,,2,2017,4,71,5,22.64,5,4,0,0,0
3,2018,13,218,18,26.807,262,77,218,774,698,,,3,2018,0,73,0,75,20,11,0,33,0
4,2019,19,180,32,160.415,23.634,852,1.111,2.524,7.662,,,4,2019,1,57,3,288,0,8,5,37,123
5,2020,1,364,9,62.529,1.881,124,609,1.164,11.667,,,5,2020,1,90,8,359,395,89,16,64,150
JUMLAH,,150,945,1393,738.7049999999999,580.495,1317.758,985.941,1122.6339999999998,776.7030000000001,,,JUMLAH,,9,318,17.310000000000002,858.8240000000001,428.79200000000003,769,510,135.172,292.401
,,,,,,,,,,,,,,,,,,,,,,,
Bencana Menurut Wilayah Sumatera Utara,,,,,,,,,,,,,Bencana Menurut Wilayah Nusa Tenggara Timur,,,,,,,,,,
No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam,,,No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam
1,2016,38,73,27,100.768,8.788,508,289,1.412,14.053,,,1,2016,3,19,4,142,2.256,50,6,138,216
2,2017,16,81,18,168.685,14.416,360,230,771,35.128,,,2,2017,0,13,0,20.678,198,3,24,11,3.023
3,2018,3,94,6,8.507,446,223,344,440,33,,,3,2018,1,185,2,1.123,0,8,12,1.401,248
4,2019,3,71,38,7.28,682,305,415,1.275,453,,,4,2019,0,38,0,156.391,19.712,85,64,45,33.098
5,2020,4,150,23,3.324,1.675,114,199,162,217,,,5,2020,1,17,0,114.018,26.823,110,99,421,45.405
JUMLAH,,64,469,112,288.56399999999996,1152.879,1510,1477,1375.6870000000001,752.181,,,JUMLAH,,5,272,6,434.21000000000004,246.791,256,205,616.4010000000001,545.5260000000001
,,,,,,,,,,,,,,,,,,,,,,,
